acl	2.3.1-3
jp2a	1.1.1-2
kaccounts-providers	4:22.12.3-1
kactivities-bin	5.103.0-1
kactivitymanagerd	5.27.5-2
kamera	4:22.12.3-1
kasumi	2.5-11
kbd	2.5.1-1+b1
kdeconnect	22.12.3-1
kded5	5.103.0-1
keditbookmarks	22.12.3-1
keyboard-configuration	1.221
kinit	5.103.0-1
kio	5.103.0-1+deb12u1
kio-extras	4:22.12.3-1
kio-extras-data	4:22.12.3-1
klibc-utils	2.0.12-1
kmod	30+20221128-1
kpackagelauncherqml	5.103.0-1
kpackagetool5	5.103.0-1
kpeople-vcard	0.1-3
kwayland-data	4:5.103.0-1
kwayland-integration	5.27.5-2
less	590-2.1~deb12u2
liba52-0.7.4	0.7.4-20
libaa1	1.4p5-50
libaacs0	0.11.1-2
libabsl20220623	20220623.1-1
libabw-0.1-1	0.1.3-1
libaccounts-glib0	1.26-1
libaccounts-qt5-1	1.16-2
libacl1	2.3.1-3
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-8+b1
libalgorithm-merge-perl	0.08-5
libanthy1	1:0.4-2
libanthyinput0	1:0.4-2
libao-common	1.2.2+20180113-1.1
libao4	1.2.2+20180113-1.1
libaom3	3.6.0-1+deb12u1
libapparmor1	3.0.8-3
libappimage1.0abi1	1.0.4-5-1
libapt-pkg6.0	2.6.1
libarchive13	3.6.2-1+deb12u2
libargon2-1	0~20171227-0.3+deb12u1
libaribb24-0	1.0.3-2
libasan8	12.2.0-14
libasound2	1.2.8-1+b1
libasound2-data	1.2.8-1
libasound2-plugins	1.2.7.1-1
libaspell15	0.60.8-4+b1
libass9	1:0.17.1-1
libassuan0	2.5.5-5
libasyncns0	0.8-6+b3
libatasmart4	0.19-5
libatk-adaptor	2.46.0-5
libatk-bridge2.0-0	2.46.0-5
libatk1.0-0	2.46.0-5
libatkmm-1.6-1v5	2.28.3-1
libatomic1	12.2.0-14
libatopology2	1.2.8-1+b1
libatspi2.0-0	2.46.0-5
libattr1	1:2.5.1-4
libaudio2	1.9.4-7
libaudit-common	1:3.0.9-1
libaudit1	1:3.0.9-1
libauthen-sasl-perl	2.1600-3
libavahi-client3	0.8-10+deb12u1
libavahi-common-data	0.8-10+deb12u1
libavahi-common3	0.8-10+deb12u1
libavahi-core7	0.8-10+deb12u1
libavahi-glib1	0.8-10+deb12u1
libavc1394-0	0.5.4-5
libavcodec59	7:5.1.6-0+deb12u1
libavfilter8	7:5.1.6-0+deb12u1
libavformat59	7:5.1.6-0+deb12u1
libavif15	0.11.1-1
libavutil57	7:5.1.6-0+deb12u1
libayatana-appindicator3-1	0.5.92-1
libayatana-ido3-0.4-0	0.9.3-1
libayatana-indicator3-7	0.9.3-1
libbdplus0	0.2.0-3
libbinutils	2.40-2
libblas3	3.11.0-2
libblkid1	2.38.1-5+deb12u3
libblockdev-crypto2	2.28-2
libblockdev-fs2	2.28-2
libblockdev-loop2	2.28-2
libblockdev-part-err2	2.28-2
libblockdev-part2	2.28-2
libblockdev-swap2	2.28-2
libblockdev-utils2	2.28-2
libblockdev2	2.28-2
libbluetooth3	5.66-1+deb12u2
libbluray2	1:1.3.4-1
libboost-filesystem1.74.0	1.74.0+ds1-21
libboost-iostreams1.74.0	1.74.0+ds1-21
libboost-locale1.74.0	1.74.0+ds1-21
libboost-regex1.74.0	1.74.0+ds1-21
libboost-thread1.74.0	1.74.0+ds1-21
libbox2d2	2.4.1-3
libbpf1	1:1.1.0-1
libbrlapi0.8	6.5-7+deb12u1
libbrotli1	1.0.9-2+b6
libbs2b0	3.1.0+dfsg-7
libbsd0	0.11.7-2
libbz2-1.0	1.0.8-5+b1
libc-bin	2.36-9+deb12u10
libc-dev-bin	2.36-9+deb12u10
libc-devtools	2.36-9+deb12u10
libc-l10n	2.36-9+deb12u10
libc6	2.36-9+deb12u10
libc6-dev	2.36-9+deb12u10
libcaca0	0.99.beta20-3
libcairo-gobject-perl	1.005-4
